id,region_codes
4,0
14,0
16,0
43,0
44,0
49,0
60,0
67,0
77,0
78,0
84,0
102,0
104,0
114,0
118,0
135,0
143,0
146,0
147,0
158,0
170,0
193,0
205,0
208,0
218,0
235,0
237,0
242,0
250,0
253,0
257,0
259,0
267,0
268,0
270,0
280,0
293,0
303,0
304,0
317,0
319,0
321,0
337,0
345,0
346,0
366,0
368,0
370,0
374,0
376,0
381,0
387,0
392,0
393,0
422,0
435,0
439,0
460,0
468,0
470,0
476,0
478,0
481,0
489,0
490,0
493,0
509,0
510,0
512,0
513,0
515,0
518,0
520,0
528,0
537,0
543,0
551,0
553,0
563,0
566,0
572,0
577,0
581,0
584,0
585,0
587,0
589,0
595,0
600,0
608,0
613,0
615,0
623,0
629,0
638,0
641,0
642,0
644,0
649,0
655,0
660,0
667,0
669,0
681,0
682,0
688,0
692,0
696,0
698,0
750,0
758,0
766,0
769,0
772,0
777,0
778,0
790,0
793,0
796,0
801,0
802,0
803,0
804,0
822,0
823,0
826,0
828,0
849,0
851,0
852,0
854,0
859,0
880,0
898,0
907,0
909,0
917,0
918,0
926,0
933,0
936,0
948,0
958,0
962,0
975,0
976,0
980,0
982,0
1000,0
1005,0
1008,0
1012,0
1017,0
1019,0
1042,0
1046,0
1050,0
1054,0
1061,0
1074,0
1075,0
1089,0
1106,0
1129,0
1132,0
1138,0
1140,0
1143,0
1154,0
1157,0
1158,0
1160,0
1161,0
1177,0
1186,0
1190,0
1193,0
1214,0
1216,0
1228,0
1243,0
1248,0
1253,0
1254,0
1258,0
1260,0
1268,0
1273,0
1275,0
1282,0
1311,0
1313,0
1350,0
1352,0
1354,0
1364,0
1385,0
1391,0
1393,0
1397,0
1401,0
1453,0
1456,0
1462,0
1477,0
1492,0
1493,0
1498,0
1539,0
1544,0
1552,0
1553,0
1554,0
1558,0
1559,0
1573,0
1580,0
1585,0
1589,0
1590,0
1603,0
1605,0
1607,0
1613,0
1624,0
1626,0
1634,0
1636,0
1638,0
1642,0
1645,0
1655,0
1660,0
1665,0
1679,0
1681,0
1692,0
1701,0
1706,0
1707,0
1710,0
1716,0
1724,0
1738,0
1746,0
1753,0
1755,0
1763,0
1769,0
1776,0
1777,0
1782,0
1786,0
1788,0
1797,0
1799,0
1806,0
1818,0
1821,0
1826,0
1832,0
1846,0
1849,0
1858,0
1862,0
1864,0
1868,0
1877,0
1883,0
1884,0
1888,0
1901,0
1908,0
1921,0
1928,0
1934,0
1951,0
1953,0
1958,0
1959,0
1975,0
1977,0
1980,0
1993,0
1994,0
1996,0
1998,2
1999,2
2003,2
2004,2
2005,2
2010,2
2011,2
2012,2
2016,2
2022,2
2027,2
2033,2
2034,2
2035,2
2037,2
2038,2
2039,2
2041,2
2044,2
2048,2
2069,2
2079,2
2087,2
2104,2
2105,2
2110,2
2117,2
2122,2
2128,2
2134,2
2137,2
2154,2
2158,2
2162,2
2165,2
2167,2
2171,2
2175,2
2177,2
2180,2
2181,2
2187,2
2191,2
2197,2
2199,2
2201,2
2215,2
2219,2
2223,2
2224,2
2230,2
2232,2
2237,2
2241,2
2243,2
2252,2
2256,2
2257,2
2267,2
2268,2
2269,2
2270,2
2275,2
2278,2
2282,2
2288,2
2289,2
2299,2
2300,2
2308,2
2312,2
2317,2
2327,2
2332,2
2333,2
2340,2
2341,2
2347,2
2361,2
2365,2
2366,2
2367,2
2372,2
2376,2
2381,2
2383,2
2385,2
2400,2
2415,2
2417,2
2420,2
2430,2
2434,2
2438,2
2439,2
2441,2
2445,2
2449,2
2450,2
2451,2
2454,2
2477,2
2481,2
2482,2
2485,2
2486,2
2490,3
2493,3
2495,3
2507,3
2508,3
2527,3
2528,3
2529,3
2530,3
2542,3
2544,3
2548,3
2556,3
2558,3
2563,3
2564,3
2566,3
2569,3
2578,3
2582,3
2583,3
2585,3
2594,3
2595,3
2598,3
2615,3
2618,3
2619,3
2620,3
2628,3
2629,3
2647,3
2649,3
2650,3
2660,3
2663,3
2665,3
2668,3
2669,3
2670,3
2674,3
2675,3
2678,3
2680,3
2681,3
2685,3
2686,3
2688,3
2689,3
2693,3
2699,3
2710,3
2712,3
2717,3
2721,3
2722,3
2723,3
2726,3
2733,3
2737,3
2738,3
2742,3
2746,3
2747,3
2755,3
2756,3
2774,3
2777,3
2779,3
2783,3
2786,3
2793,3
2797,3
2801,3
2805,3
2809,3
2810,3
2812,3
2813,3
2821,3
2824,3
2834,3
2843,3
2846,3
2851,3
2853,3
2859,3
2863,3
2864,3
2865,3
2866,3
2874,3
2875,3
2876,3
2882,3
2884,3
2888,6
2895,6
2896,6
2910,6
2925,6
2927,6
2932,6
2934,6
2941,6
2951,6
2952,6
2953,6
2955,6
2965,6
2966,6
2967,6
2972,6
2977,6
2982,6
2983,6
2994,6
3006,6
3008,6
3009,6
3014,6
3016,6
3018,6
3020,6
3026,6
3029,6
3030,6
3032,6
3034,6
3041,1
3053,1
3058,1
3063,1
3066,1
3067,1
3074,1
3078,1
3084,1
3088,1
3092,1
3093,1
3097,1
3098,1
3101,1
3102,1
3114,1
3119,1
3125,1
3131,1
3134,1
3135,1
3136,1
3137,1
3139,1
3146,1
3148,1
3153,1
3162,1
3167,1
3169,1
3173,1
3175,1
3197,1
3202,1
3204,1
3208,1
3213,1
3217,1
3218,1
3234,1
3237,1
3242,1
3250,1
3251,1
3260,1
3264,1
3267,1
3274,1
3276,1
3294,1
3295,1
3306,1
3307,1
3309,1
3312,1
3313,1
3315,1
3319,1
3327,1
3345,1
3350,1
3351,1
3354,1
3360,1
3367,1
3370,1
3372,1
3380,1
3383,1
3384,1
3387,1
3414,1
3417,1
3419,1
3424,1
3428,1
3431,1
3435,1
3436,1
3452,1
3459,1
3460,1
3472,1
3473,1
3475,1
3477,1
3479,1
3482,1
3483,1
3486,1
3487,1
3490,1
3494,1
3499,1
3511,1
3513,1
3516,1
3525,1
3532,1
3533,1
3537,1
3544,1
3545,1
3548,1
3559,1
3560,1
3561,1
3566,1
3567,1
3569,1
3572,1
3579,1
3580,1
3599,1
3603,1
3604,1
3605,1
3614,1
3615,1
3618,1
3626,1
3635,1
3640,1
3643,1
3648,1
3657,1
3661,1
3662,1
3669,1
3673,1
3680,1
3682,1
3683,1
3687,1
3693,1
3694,1
3695,1
3698,1
3704,1
3709,1
3710,1
3712,1
3718,1
3720,1
3721,1
3722,1
3725,1
3726,1
3727,1
3731,1
3733,1
3735,1
3738,1
3741,1
3742,1
3745,1
3746,1
3752,1
3753,1
3754,1
3757,1
3759,1
3764,1
3769,1
3770,1
3775,1
3779,1
3787,1
3791,1
3792,1
3796,1
3798,1
3805,1
3814,1
3815,1
3816,1
3827,1
3837,1
3839,1
3848,1
3849,1
3850,1
3860,1
3861,1
3862,1
3864,1
3866,1
3873,1
3878,1
3881,1
3884,1
3886,1
3887,1
3888,1
3890,1
3895,1
3896,1
3897,1
3898,1
3900,1
3904,1
3908,1
3914,1
3916,1
3919,1
3922,1
3924,1
3926,1
3927,1
3930,1
3932,1
3937,1
3942,1
3945,1
3948,1
3949,1
3959,1
3961,1
3970,1
3971,1
3973,1
3980,1
3986,1
3987,1
3988,1
3989,1
3997,1
3998,1
4003,1
4006,1
4013,1
4016,1
4018,1
4019,1
4020,1
4024,1
4026,1
4028,1
4031,1
4033,1
4035,1
4036,1
4044,1
4049,1
4050,1
4051,1
4053,1
4055,1
4057,1
4066,1
4073,1
4079,1
4080,1
4081,1
4083,1
4085,1
4089,1
4091,1
4092,1
4094,1
4095,1
4096,1
4098,1
4105,1
4107,1
4109,1
4111,1
4113,1
4116,1
4122,1
4126,1
4129,1
4140,1
4144,1
4147,1
4151,1
4152,1
4156,1
4158,1
4167,1
4184,1
4185,1
4188,1
4189,1
4191,1
4194,1
4196,1
4197,1
4198,1
4201,1
4203,1
4209,1
4210,1
4215,1
4217,1
4218,1
4220,1
4223,1
4238,1
4239,1
4242,1
4243,1
4248,1
4255,1
4258,1
4259,1
4260,1
4264,1
4272,1
4275,1
4277,1
4279,1
4285,1
4286,1
4287,1
4288,1
4291,1
4295,1
4296,1
4298,1
4301,1
4303,1
4310,1
4315,1
4321,1
4322,1
4325,1
4327,1
4334,1
4337,1
4344,1
4345,1
4346,1
4352,1
4354,1
4364,1
4365,1
4366,1
4379,1
4381,1
4382,1
4386,1
4387,1
4388,1
4392,1
4402,1
4404,1
4408,1
4424,1
4428,1
4429,1
4436,1
4438,1
4439,1
4442,1
4443,1
4445,1
4447,1
4450,1
4451,1
4452,1
4462,1
4470,1
4471,1
4473,1
4475,1
4477,1
4481,1
4483,1
4484,1
4494,1
4495,1
4498,1
4499,1
4500,1
4509,1
4518,1
4525,1
4526,1
4533,1
4535,1
4536,1
4541,1
4544,1
4545,1
4552,1
4557,1
4558,1
4565,1
4566,1
4577,1
4580,1
4581,1
4582,1
4591,1
4600,1
4609,1
4612,1
4615,1
4619,1
4628,1
4633,1
4634,1
4637,1
4641,1
4648,1
4650,1
4653,1
4661,1
4664,1
4667,1
4668,1
4674,1
4681,1
4682,1
4684,1
4686,1
4687,1
4688,1
4691,1
4703,1
4705,1
4712,1
4722,1
4733,1
4736,1
4738,1
4741,1
4742,1
4746,1
4756,1
4772,1
4775,1
4779,1
4780,1
4785,1
4788,1
4790,1
4797,1
4805,1
4808,1
4812,1
4815,1
4816,1
4817,1
4821,1
4826,1
4827,1
4829,1
4831,1
4832,1
4833,1
4838,1
4856,1
4859,1
4861,1
4869,1
4871,1
4873,1
4876,1
4880,1
4904,1
4908,1
4918,1
4929,1
4936,1
4949,1
4951,1
4952,1
4958,1
4961,1
4964,1
4965,1
4966,1
4967,1
4968,1
4971,1
4975,1
4991,1
4992,1
5013,1
5023,1
5032,1
5033,1
5052,1
5055,1
5056,1
5064,1
5066,1
5077,1
5079,1
5081,1
5082,1
5087,1
5098,1
5105,1
5110,1
5124,1
5138,1
5143,1
5144,1
5146,1
5154,1
5157,1
5158,1
5161,1
5174,1
5192,1
5193,1
5194,1
5212,1
5215,1
5217,1
5223,1
5228,1
5232,1
5233,1
5238,1
5244,1
5251,1
5254,1
5264,1
5267,1
5270,1
5271,1
5273,1
5281,1
5289,1
5292,1
5304,1
5306,1
5310,1
5313,1
5314,1
5317,1
5319,1
5323,1
5327,1
5338,1
5367,1
5413,4
5414,4
5421,4
5422,4
5429,4
5430,4
5431,4
5435,4
5444,4
5447,4
5457,4
5462,4
5475,4
5479,4
5491,4
5496,4
5504,4
5507,4
5512,4
5516,4
5517,4
5519,4
5523,4
5524,4
5529,4
5532,4
5535,4
5541,4
5555,4
5556,4
5557,4
5559,4
5561,4
5563,4
5570,4
5576,4
5579,4
5581,4
5582,4
5586,4
5587,4
5588,4
5590,4
5592,4
5598,4
5604,4
5608,4
5611,4
5612,4
5614,4
5615,4
5618,4
5624,4
5625,4
5627,4
5632,4
5635,4
5639,4
5640,4
5643,4
5645,4
5646,4
5648,4
5649,4
5651,4
5657,4
5660,4
5663,4
5664,4
5673,4
5685,4
5687,4
5688,4
5692,4
5702,4
5709,4
5710,4
5721,4
5728,4
5735,4
5739,4
5741,4
5746,4
5748,4
5759,4
5761,4
5773,4
5777,4
5793,4
5794,4
5802,4
5810,4
5813,4
5815,4
5818,4
5819,4
5820,4
5827,4
5831,4
5834,4
5837,4
5842,4
5847,4
5849,4
5850,4
5851,4
5853,4
5856,4
5857,4
5858,4
5861,4
5862,4
5864,4
5865,4
5875,4
5880,4
5883,4
5884,4
5887,4
5890,4
5892,4
5893,4
5897,4
5902,4
5908,4
5918,4
5919,4
5921,4
5922,4
5926,4
5931,4
5934,4
5939,4
5943,4
5944,4
5947,4
5948,4
5950,4
5955,4
5956,4
5959,4
5962,4
5964,4
5966,4
5967,4
5968,4
5969,4
5971,4
5974,4
5982,4
5991,4
5992,4
5997,4
6007,4
6008,4
6010,4
6011,4
6013,4
6017,4
6018,4
6027,4
6033,4
6034,4
6045,4
6046,4
6049,4
6054,4
6071,4
6073,4
6075,4
6076,4
6083,4
6086,4
6090,4
6091,4
6093,4
6096,4
6100,4
6101,4
6109,4
6113,4
6116,4
6117,4
6118,4
6129,4
6144,4
6150,4
6156,4
6166,4
6173,4
6186,4
6194,4
6205,4
6261,4
6279,4
6283,4
6285,4
6288,4
6290,4
6293,4
6302,4
6306,4
6307,4
6310,4
6313,4
6317,4
6318,4
6319,4
6328,4
6333,4
6337,4
6341,4
6343,4
6345,4
6351,4
6352,4
6365,4
6366,4
6368,4
6370,4
6377,4
6380,4
6383,4
6386,4
6387,4
6392,4
6395,4
6396,4
6397,4
6399,4
6409,4
6417,4
6419,4
6420,4
6428,4
6433,4
6437,4
6442,4
6443,4
6445,4
6449,4
6451,4
6453,4
6455,4
6458,4
6461,4
6470,4
6473,4
6476,4
6478,4
6480,4
6484,4
6486,4
6490,4
6492,4
6496,4
6499,4
6502,4
6513,4
6514,4
6516,4
6522,4
6526,4
6528,4
6529,4
6539,4
6545,4
6546,4
6547,4
6549,4
6556,4
6562,4
6573,4
6576,4
6578,4
6583,4
6587,4
6589,4
6591,4
6599,4
6606,4
6612,4
6619,4
6627,4
6629,4
6630,4
6631,4
6635,4
6636,4
6637,4
6640,4
6649,4
6659,4
6661,4
6662,4
6676,4
6684,4
6691,4
6692,4
6695,4
6702,4
6703,4
6709,4
6712,4
6717,4
6719,4
6728,4
6729,4
6731,4
6736,4
6737,4
6741,4
6743,4
6746,4
6755,4
6756,4
6767,4
6770,4
6775,4
6776,4
6782,4
6783,4
6784,4
6787,4
6791,4
6794,4
6799,4
6801,4
6803,4
6805,4
6815,4
6820,4
6834,4
6838,4
6841,4
6856,4
6866,4
6869,4
6873,4
6874,4
6884,4
6885,4
6897,4
6905,4
6912,4
6919,4
6924,4
6925,4
6930,4
6936,4
6940,4
6941,4
6955,4
6956,4
6957,4
6961,4
6962,4
6964,4
6966,4
6969,4
6970,4
6974,4
6977,4
6978,4
6979,4
6981,4
6985,4
6988,4
6989,4
6992,4
6999,4
7000,4
7003,4
7005,4
7009,4
7013,4
7016,4
7017,4
7021,4
7028,4
7031,4
7045,4
7046,4
7054,4
7062,4
7071,4
7077,4
7087,4
7102,4
7108,4
7109,4
7112,4
7119,4
7127,4
7131,4
7135,4
7140,4
7142,4
7144,4
7145,4
7146,4
7147,4
7149,4
7152,4
7162,4
7165,4
7172,4
7178,4
7183,4
7191,4
7193,4
7198,4
7205,4
7213,4
7214,4
7216,4
7222,4
7234,4
7236,4
7249,4
7252,4
7271,4
7279,4
7281,4
7286,4
7293,4
7295,4
7299,4
7302,4
7316,4
7318,4
7319,4
7324,4
7329,4
7330,4
7332,4
7340,4
7346,4
7349,4
7355,4
7357,4
7361,4
7370,4
7373,4
7378,4
7382,4
7404,4
7417,4
7419,4
7425,4
7434,4
7435,4
7438,4
7440,4
7452,4
7454,4
7459,4
7460,4
7470,4
7482,4
7496,4
7498,4
7503,4
7512,4
7515,4
7527,4
7538,4
7539,4
7541,4
7546,4
7547,4
7549,4
7555,4
7557,4
7589,4
7592,4
7600,4
7601,4
7611,4
7617,4
7619,4
7625,4
7631,4
7644,4
7646,4
7651,4
7672,4
7679,4
7689,4
7690,4
7702,4
7707,4
7709,4
7710,4
7715,4
7730,4
7736,4
7740,4
7743,4
7746,4
7747,4
7751,4
7753,4
7758,4
7761,4
7762,4
7765,4
7774,4
7776,4
7777,4
7789,4
7794,4
7804,4
7806,4
7807,4
7810,4
7814,4
7819,4
7832,4
7842,4
7847,4
7852,4
7865,4
7867,4
7876,4
7880,4
7901,4
7903,4
7905,4
7906,4
7908,4
7916,4
7919,4
7920,4
7929,4
7940,4
7951,4
7962,4
7963,4
7972,4
7980,4
7995,4
8005,4
8012,4
8020,4
8028,4
8030,4
8045,4
8049,4
8053,3
8063,3
8067,3
8074,3
8077,3
8079,3
8080,3
8082,3
8087,3
8092,3
8094,3
8095,3
8100,3
8103,3
8104,3
8105,3
8112,3
8116,3
8118,3
8121,3
8128,3
8130,3
8131,3
8132,3
8135,3
8141,3
8143,3
8145,3
8149,3
8152,3
8153,3
8158,3
8159,3
8161,3
8163,3
8164,3
8171,3
8183,3
8184,3
8187,3
8194,3
8195,3
8199,3
8200,3
8202,3
8203,3
8206,3
8209,3
8210,3
8214,3
8216,3
8217,3
8218,3
8219,3
8221,3
8226,3
8229,3
8234,3
8240,3
8261,3
8269,3
8271,3
8274,3
8277,3
8280,3
8285,3
8286,3
8289,3
8294,3
8295,3
8298,3
8302,3
8303,3
8307,3
8308,3
8312,3
8321,3
8324,3
8328,3
8329,3
8330,3
8331,3
8332,3
8335,3
8343,3
8346,3
8353,3
8354,3
8356,3
8358,3
8359,3
8360,3
8365,3
8366,3
8367,3
8368,3
8373,3
8382,3
8387,3
8400,3
8406,3
8407,3
8408,3
8414,3
8421,3
8429,3
8433,3
8435,3
8438,3
8442,3
8449,3
8457,3
8460,3
8462,3
8463,3
8464,3
8470,3
8475,3
8477,3
8481,3
8485,3
8487,3
8491,3
8496,3
8502,3
8507,3
8508,3
8509,3
8510,3
8518,3
8519,3
8521,3
8528,3
8530,3
8534,3
8535,3
8537,3
8538,3
8540,3
8543,3
8544,3
8550,3
8554,3
8559,3
8560,3
8567,3
8577,5
8580,5
8587,5
8591,5
8593,5
8595,5
8596,5
8602,5
8609,5
8620,5
8652,5
8656,5
8661,5
8663,5
8664,5
8679,5
8686,5
8690,5
8698,5
8705,5
8715,5
8717,5
8729,5
8735,5
8742,5
8748,5
8751,5
8754,5
8760,5
8764,5
8766,5
8773,5
8774,5
8776,5
8783,5
8791,5
8792,5
8799,5
8806,5
8813,5
8820,5
8824,5
8826,5
8836,5
8839,5
8848,5
8850,5
8859,5
8861,5
8865,5
8871,5
8873,5
8874,5
8891,5
8892,5
8894,5
8902,5
8905,5
8906,5
8912,5
8917,5
8922,5
8925,5
8927,5
8932,5
8937,5
8938,5
8950,5
8955,5
8964,5
8965,5
8966,5
8967,5
8976,5
8977,5
8983,5
8988,5
8999,5
9000,5
9002,5
9003,5
9011,5
9023,5
9026,5
9029,5
9038,5
9045,5
9048,5
9052,5
9074,5
9080,5
9081,5
9084,5
9105,5
9106,5
9112,5
9114,5
9118,5
9127,5
9138,5
9141,5
9145,3
9147,3
9149,3
9150,3
9154,3
9160,3
9163,3
9164,3
9166,3
9167,3
9169,3
9179,3
9181,3
9188,3
9189,3
9191,3
9197,3
9199,3
9201,3
9204,3
9208,3
9209,3
9214,3
9218,3
9219,3
9222,3
9227,3
9229,3
9230,3
9231,3
9233,3
9234,3
9235,3
9237,3
9240,3
9245,3
9250,3
9252,3
9253,3
9261,3
9264,3
9273,3
9274,3
9277,3
9280,3
9281,3
9291,3
9297,3
9302,3
9309,3
9319,3
9324,3
9325,3
9332,3
9336,3
9339,3
9341,3
9344,3
9348,3
9352,3
9356,3
9369,3
9371,3
9372,3
9374,3
9381,3
9385,3
9392,3
9397,3
9403,3
9404,3
9412,3
9415,3
9419,3
9423,3
9426,3
9427,3
9430,3
9432,3
9433,3
9436,3
9437,3
9438,3
9439,3
9440,3
9445,3
9449,3
9456,3
9457,3
9463,3
9465,3
9472,3
9474,3
9475,3
9476,3
9488,3
9499,3
9503,3
9511,3
9512,3
9518,3
9519,3
9523,3
9530,3
9531,3
9534,3
9540,3
9542,3
9546,3
9549,3
9557,3
9558,3
9561,3
9573,3
9579,3
9582,3
9584,3
9604,3
9605,3
9608,3
9611,3
9613,3
9616,3
9617,3
9618,3
9623,3
9624,3
9625,3
9626,3
9629,3
9630,3
9631,3
9637,3
9638,3
9642,3
9645,3
9646,3
9647,3
9648,3
9651,3
9652,3
9655,3
9658,3
9663,3
9666,3
9671,3
9683,3
9686,3
9687,3
9688,3
9690,3
9696,3
9697,3
9700,3
9702,3
9710,3
9711,3
9720,3
9721,3
9728,3
9730,3
9731,3
9734,3
9738,3
9739,3
9741,3
9745,3
9747,3
9751,2
9757,2
9761,2
9762,2
9763,2
9769,2
9777,2
9780,2
9783,2
9786,2
9796,2
9798,2
9800,2
9802,2
9805,2
9807,2
9809,2
9810,2
9811,2
9812,2
9816,2
9822,2
9828,2
9830,2
9831,2
9834,2
9841,2
9843,2
9850,2
9856,2
9873,2
9878,2
9882,2
9886,2
9889,2
9891,2
9896,2
9904,2
9906,2
9908,2
9909,2
